file,line,type,commit,author,date,time,timezone,datetime,depth,length
resume/style.css,69,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,0
resume/style.css,70,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,21
resume/style.css,71,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,67
resume/style.css,72,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,57
resume/style.css,73,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,56
resume/style.css,74,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,66
resume/style.css,75,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,0
resume/style.css,76,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,0
resume/style.css,77,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,0
resume/style.css,78,css,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,0
resume/style.css,79,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,15
resume/style.css,80,css,891276dd,Michaelvasandani,2025-01-18,17:37:40,-08:00,2025-01-18T17:37:40-08:00,0,18
resume/style.css,81,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,82,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,83,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,18
resume/style.css,84,css,891276dd,Michaelvasandani,2025-01-18,17:37:40,-08:00,2025-01-18T17:37:40-08:00,0,20
resume/style.css,85,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,86,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,87,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,17
resume/style.css,88,css,891276dd,Michaelvasandani,2025-01-18,17:37:40,-08:00,2025-01-18T17:37:40-08:00,0,13
resume/style.css,89,css,891276dd,Michaelvasandani,2025-01-18,17:37:40,-08:00,2025-01-18T17:37:40-08:00,0,16
resume/style.css,90,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,91,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,92,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,5
resume/style.css,93,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,13
resume/style.css,94,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,8
resume/style.css,95,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,96,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,97,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,98,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,11
resume/style.css,99,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,26
resume/style.css,100,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,21
resume/style.css,101,css,891276dd,Michaelvasandani,2025-01-18,17:37:40,-08:00,2025-01-18T17:37:40-08:00,0,38
resume/style.css,102,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,103,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,104,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,17
resume/style.css,105,css,891276dd,Michaelvasandani,2025-01-18,17:37:40,-08:00,2025-01-18T17:37:40-08:00,0,24
resume/style.css,106,css,891276dd,Michaelvasandani,2025-01-18,17:37:40,-08:00,2025-01-18T17:37:40-08:00,0,26
resume/style.css,107,css,891276dd,Michaelvasandani,2025-01-18,17:37:40,-08:00,2025-01-18T17:37:40-08:00,0,22
resume/style.css,108,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,109,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,110,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,5
resume/style.css,111,css,891276dd,Michaelvasandani,2025-01-18,17:37:40,-08:00,2025-01-18T17:37:40-08:00,0,23
resume/style.css,112,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,113,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,114,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,8
resume/style.css,115,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,35
resume/style.css,116,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,18
resume/style.css,117,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,12
resume/style.css,118,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,40
resume/style.css,119,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,43
resume/style.css,120,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,121,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,122,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,14
resume/style.css,123,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,27
resume/style.css,124,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,40
resume/style.css,125,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,126,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/style.css,127,css,40ef1dd7,Michaelvasandani,2025-01-18,16:22:31,-08:00,2025-01-18T16:22:31-08:00,0,0
resume/index.html,1,html,e8b89e48,Michaelvasandani,2025-01-10,19:23:52,-08:00,2025-01-10T19:23:52-08:00,0,14
resume/index.html,2,html,e8b89e48,Michaelvasandani,2025-01-10,19:23:52,-08:00,2025-01-10T19:23:52-08:00,0,15
resume/index.html,3,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,5
resume/index.html,4,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,23
resume/index.html,5,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,71
resume/index.html,6,html,e8b89e48,Michaelvasandani,2025-01-10,19:23:52,-08:00,2025-01-10T19:23:52-08:00,0,39
resume/index.html,7,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,41
resume/index.html,8,html,f32cd977,Michaelvasandani,2025-01-31,17:19:59,-08:00,2025-01-31T17:19:59-08:00,0,49
resume/index.html,9,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,6
resume/index.html,10,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,5
resume/index.html,11,html,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,9
resume/index.html,12,html,e8b89e48,Michaelvasandani,2025-01-10,19:23:52,-08:00,2025-01-10T19:23:52-08:00,0,3
resume/index.html,13,html,e8b89e48,Michaelvasandani,2025-01-10,19:23:52,-08:00,2025-01-10T19:23:52-08:00,0,40
resume/index.html,14,html,e8b89e48,Michaelvasandani,2025-01-10,19:23:52,-08:00,2025-01-10T19:23:52-08:00,0,53
